theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(6,1)",0.1,0.02,29.229794518588296,20,270,2.165169964339874,1,60.45958903717659
"(6,1)",0.2,0.02,31.619725849250017,20,270,2.3422019147592605,2,67.23945169850003
"(6,1)",0.3,0.02,24.433167584738023,20,270,1.8098642655361499,2,52.866335169476045
"(6,1)",0.4,0.02,19.93504655837712,20,270,1.4766701154353423,2,43.87009311675424
"(6,1)",0.5,0.02,21.850481749637233,20,270,1.618554203676832,2,47.700963499274465
"(6,1)",0.6,0.02,42.11598067085815,20,270,3.1197022719154184,2,88.2319613417163
"(6,1)",0.7,0.02,24.277917649756084,20,270,1.7983642703523026,2,52.55583529951217
"(6,1)",0.8,0.02,24.554605513777226,20,270,1.818859667687202,2,53.10921102755445
"(6,1)",0.9,0.02,42.694835778312736,20,270,3.1625804280231655,2,89.38967155662547
"(9,1)",0.1,0.02,46.31135807574785,20,270,3.4304709685739145,1,94.6227161514957
"(9,1)",0.2,0.02,20.029745963921307,20,270,1.483684886216393,2,44.059491927842615
"(9,1)",0.3,0.02,19.085123465458445,20,270,1.4137128492932183,2,42.17024693091689
"(9,1)",0.4,0.02,20.004851732191415,20,270,1.481840869051216,2,44.00970346438283
"(9,1)",0.5,0.02,20.224429464071516,20,270,1.4981058862275198,2,44.44885892814303
"(9,1)",0.6,0.02,23.80973538095743,20,270,1.763684102293143,2,51.61947076191486
"(9,1)",0.7,0.02,34.984035317785896,20,270,2.591410023539696,2,73.96807063557179
"(9,1)",0.8,0.02,31.429769032718433,20,270,2.328131039460625,2,66.85953806543687
"(9,1)",0.9,0.02,38.80409162171851,20,270,2.8743771571643344,2,81.60818324343703
"(15,1)",0.1,0.02,32.65212260132388,20,270,2.418675748246214,1,67.30424520264776
"(15,1)",0.2,0.02,23.455433847525576,20,270,1.7374395442611537,2,50.91086769505115
"(15,1)",0.3,0.02,20.829269453553263,20,270,1.542908848411353,2,45.658538907106525
"(15,1)",0.4,0.02,20.138622029517798,20,270,1.4917497799642814,2,44.277244059035596
"(15,1)",0.5,0.02,20.906083006425842,20,270,1.548598741216729,2,45.812166012851684
"(15,1)",0.6,0.02,24.47426155429316,20,270,1.812908263280975,2,52.94852310858632
"(15,1)",0.7,0.02,30.747913448440215,20,270,2.277623218402979,2,65.49582689688043
"(15,1)",0.8,0.02,35.61839277970919,20,270,2.6383994651636438,2,75.23678555941838
"(15,1)",0.9,0.02,24.285914180386737,20,270,1.7989566059545732,2,52.57182836077347
"(19,1)",0.1,0.02,27.827421585542687,20,270,2.0612904878179767,0,55.654843171085375
"(19,1)",0.2,0.02,23.037252493017817,20,270,1.7064631476309495,1,48.074504986035635
"(19,1)",0.3,0.02,20.01341000555749,20,270,1.4824748152264806,1,42.02682001111498
"(19,1)",0.4,0.02,19.897129092884345,20,270,1.4738614142877293,1,41.79425818576869
"(19,1)",0.5,0.02,26.1667069276536,20,270,1.9382745872335998,1,54.3334138553072
