run_id,theta,p_gen,total_nll,num_trials,k,aic
16,"(3,1)",0.2,56.97684065994902,6,2,117.95368131989804
17,"(3,1)",0.2,37.030103612501605,7,2,78.06020722500321
18,"(3,1)",0.2,60.88886366537717,7,2,125.77772733075435
19,"(3,1)",0.2,37.030103612501605,7,2,78.06020722500321
20,"(3,1)",0.2,34.716468683320976,7,2,73.43293736664195
1,"(3,1)",0.3,19.841079711844984,8,2,43.68215942368997
2,"(3,1)",0.3,13.391113601577956,8,2,30.782227203155912
3,"(3,1)",0.3,16.928837884844434,7,2,37.85767576968887
4,"(3,1)",0.3,14.688128195568474,7,2,33.37625639113695
5,"(3,1)",0.3,18.248448917727266,8,2,40.49689783545453
6,"(3,1)",0.3,53.55947834143352,6,2,111.11895668286704
7,"(3,1)",0.3,53.55947834143352,6,2,111.11895668286704
8,"(3,1)",0.3,119.04127765513044,6,2,242.0825553102609
9,"(3,1)",0.3,12.750292240019753,9,2,29.500584480039507
10,"(3,1)",0.3,13.715807258058437,9,2,31.431614516116873
11,"(3,1)",0.3,16.218810759232284,11,2,36.43762151846457
12,"(3,1)",0.3,15.94925941373436,8,2,35.89851882746872
13,"(3,1)",0.3,14.688128195568474,7,2,33.37625639113695
14,"(3,1)",0.3,13.743666586727624,7,2,31.487333173455248
15,"(3,1)",0.3,15.94925941373436,8,2,35.89851882746872
16,"(3,1)",0.3,53.55947834143352,6,2,111.11895668286704
17,"(3,1)",0.3,14.688128195568474,7,2,33.37625639113695
18,"(3,1)",0.3,38.64535549480113,7,2,81.29071098960226
19,"(3,1)",0.3,14.688128195568474,7,2,33.37625639113695
20,"(3,1)",0.3,13.743666586727624,7,2,31.487333173455248
1,"(3,1)",0.4,15.29160289503681,8,2,34.58320579007362
2,"(3,1)",0.4,13.167168962562993,8,2,30.334337925125986
3,"(3,1)",0.4,55.11224386676871,7,2,114.22448773353742
4,"(3,1)",0.4,52.29384560849763,7,2,108.58769121699525
5,"(3,1)",0.4,14.322202337848708,8,2,32.644404675697416
6,"(3,1)",0.4,73.1174091667594,6,2,150.2348183335188
7,"(3,1)",0.4,73.1174091667594,6,2,150.2348183335188
8,"(3,1)",0.4,117.24951818590239,6,2,238.49903637180478
9,"(3,1)",0.4,13.826453291886512,9,2,31.652906583773024
10,"(3,1)",0.4,12.989056502482018,9,2,29.978113004964037
11,"(3,1)",0.4,13.782039238445174,11,2,31.564078476890348
12,"(3,1)",0.4,13.299172730346605,8,2,30.59834546069321
13,"(3,1)",0.4,52.29384560849763,7,2,108.58769121699525
14,"(3,1)",0.4,52.29384560849763,7,2,108.58769121699525
15,"(3,1)",0.4,13.299172730346605,8,2,30.59834546069321
16,"(3,1)",0.4,73.1174091667594,6,2,150.2348183335188
17,"(3,1)",0.4,52.29384560849763,7,2,108.58769121699525
18,"(3,1)",0.4,96.14326009669986,7,2,196.28652019339972
19,"(3,1)",0.4,52.29384560849763,7,2,108.58769121699525
20,"(3,1)",0.4,52.29384560849763,7,2,108.58769121699525
1,"(3,1)",0.5,34.174197283370866,8,2,72.34839456674173
