theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(2,1)",0.8,0.02,36.1801562025157,20,373,1.9399547561670614,2,76.3603124050314
"(2,1)",0.9,0.02,38.337136647092265,20,373,2.0556105440800145,2,80.67427329418453
"(3,1)",0.1,0.02,48.77021060182814,20,373,2.615024697148962,1,99.54042120365628
"(3,1)",0.2,0.02,37.88116642482226,20,373,2.0311617385963676,2,79.76233284964452
"(3,1)",0.3,0.02,29.417824803150797,20,373,1.577363260222563,2,62.835649606301594
"(3,1)",0.4,0.02,31.65762884009581,20,373,1.6974599914260489,2,67.31525768019162
"(3,1)",0.5,0.02,30.160974932654163,20,373,1.6172104521530384,2,64.32194986530833
"(3,1)",0.6,0.02,35.68253957436858,20,373,1.9132728994299508,2,75.36507914873717
"(3,1)",0.7,0.02,30.796496314122408,20,373,1.6512866656365903,2,65.59299262824482
"(3,1)",0.8,0.02,29.66191112591999,20,373,1.5904509987088467,2,63.32382225183998
"(3,1)",0.9,0.02,34.58391891891868,20,373,1.8543656256792855,2,73.16783783783735
"(4,1)",0.1,0.02,63.418403066743814,20,373,3.400450566581438,1,128.83680613348764
"(4,1)",0.2,0.02,44.56103786994405,20,373,2.3893317892731396,2,93.1220757398881
"(4,1)",0.3,0.02,35.19347332740368,20,373,1.8870495081717793,2,74.38694665480736
"(4,1)",0.4,0.02,36.5532969342238,20,373,1.959962302103153,2,77.1065938684476
"(4,1)",0.5,0.02,31.101827397031684,20,373,1.6676583054708678,2,66.20365479406337
"(4,1)",0.6,0.02,31.293847512214334,20,373,1.6779542901991602,2,66.58769502442867
"(4,1)",0.7,0.02,29.730006426438962,20,373,1.5941022212567808,2,63.460012852877924
"(4,1)",0.8,0.02,37.86557191413504,20,373,2.0303255718034876,2,79.73114382827008
"(4,1)",0.9,0.02,31.014107041660186,20,373,1.662954801161404,2,66.02821408332036
"(5,1)",0.1,0.02,61.154174737418614,20,373,3.279044221845502,1,124.30834947483723
"(5,1)",0.2,0.02,42.10587616454752,20,373,2.257687730002548,2,88.21175232909503
"(5,1)",0.3,0.02,33.03489303255394,20,373,1.7713079374023561,2,70.06978606510788
"(5,1)",0.4,0.02,31.09838527444871,20,373,1.6674737412573033,2,66.19677054889742
"(5,1)",0.5,0.02,31.709690273549626,20,373,1.7002514891983713,2,67.41938054709925
"(5,1)",0.6,0.02,29.402431003005983,20,373,1.5765378553890608,2,62.804862006011966
"(5,1)",0.7,0.02,32.176829189374295,20,373,1.7252991522452705,2,68.35365837874859
"(5,1)",0.8,0.02,29.289135722636985,20,373,1.5704630414282565,2,62.57827144527397
"(5,1)",0.9,0.02,33.48009199618701,20,373,1.7951791955060057,2,70.96018399237401
"(6,1)",0.1,0.02,66.98445185228825,20,373,3.5916596167446784,1,135.9689037045765
"(6,1)",0.2,0.02,46.40081018726234,20,373,2.4879790985127257,2,96.80162037452467
"(6,1)",0.3,0.02,29.96306411540712,20,373,1.6065986120861728,2,63.92612823081424
"(6,1)",0.4,0.02,30.467146886080904,20,373,1.6336271788783328,2,64.93429377216181
"(6,1)",0.5,0.02,30.0488808023089,20,373,1.611200043019244,2,64.0977616046178
"(6,1)",0.6,0.02,38.15312018547305,20,373,2.0457437096768394,2,80.3062403709461
"(6,1)",0.7,0.02,30.8576451916205,20,373,1.6545654258241553,2,65.715290383241
"(6,1)",0.8,0.02,30.255496492558347,20,373,1.6222786323087586,2,64.5109929851167
"(6,1)",0.9,0.02,40.0072278653434,20,373,2.1451596710639893,2,84.0144557306868
"(9,1)",0.1,0.02,78.7593767474395,20,373,4.223022881900241,1,159.518753494879
"(9,1)",0.2,0.02,54.56912867610514,20,373,2.92595864215041,2,113.13825735221027
